,year,car_name,sub_name,quentity
0,2017,5 Series,520d,"10,249"
1,2017,5 Series,520d xDrive,"5,712"
2,2017,5 Series,530i xDrive,"4,690"
3,2017,5 Series,530i,"4,560"
4,2017,5 Series,530d,569
5,2017,5 Series,530d xDrive,123
6,2017,5 Series,540i xDrive,65
7,2017,5 Series,540i xDrive,65
8,2017,3 Series,320d,"6,027"
9,2017,3 Series,320i,"2,360"
10,2017,3 Series,320d Gran Turismo,"1,877"
11,2017,3 Series,320d xDrive Gran Turismo,946
12,2017,3 Series,330i,807
13,2017,3 Series,320d xDrive,343
14,2017,3 Series,320d ED,189
15,2017,3 Series,320d Touring,53
16,2017,3 Series,328,3
17,2017,3 Series,328,3
18,2017,1 Series,118d,"3,863"
19,2017,1 Series,118d,"3,863"
20,2017,7 Series,730Ld xDrive,"1,056"
21,2017,7 Series,740Li xDrive,759
22,2017,7 Series,750Li xDrive,637
23,2017,7 Series,730d xDrive,419
24,2017,7 Series,740d xDrive,298
25,2017,7 Series,740Ld xDrive,230
26,2017,7 Series,740i,1
27,2017,7 Series,750i xDrive,1
28,2017,7 Series,750i xDrive,1
29,2017,X5,30d,"2,747"
30,2017,X5,40d,337
31,2017,X5,M50d,193
32,2017,X5,40e,33
33,2017,X5,40e,33
34,2017,X6,30d,"2,223"
35,2017,X6,40d,173
36,2017,X6,M50d,171
37,2017,X6,M,20
38,2017,X6,M,20
39,2017,Gran Turismo,GT ED,"1,561"
40,2017,Gran Turismo,GT 3.0d xDrive,592
41,2017,Gran Turismo,GT 630d xDrive,199
42,2017,Gran Turismo,GT 640i xDrive,149
43,2017,Gran Turismo,GT 35i xDrive,61
44,2017,Gran Turismo,GT 3.0d,2
45,2017,Gran Turismo,GT 3.0d,2
46,2017,4 Series,428i Convertible,468
47,2017,4 Series,420d Gran Coupe,279
48,2017,4 Series,420d xDrive Gran Coupe,272
49,2017,4 Series,420i Gran Coupe,246
50,2017,4 Series,420d Coupe,168
51,2017,4 Series,428i Coupe,129
52,2017,4 Series,420d xDrive Coupe,115
53,2017,4 Series,435d xDrive Gran Coupe,19
54,2017,4 Series,420i Coupe,10
55,2017,4 Series,420i Coupe,10
56,2017,X3,2.0d,"1,455"
57,2017,X3,3.0d,28
58,2017,X3,3.0d,28
59,2017,X4,20d,"1,427"
60,2017,X4,20d,"1,427"
61,2017,X1,18d,"1,034"
62,2017,X1,20d,248
63,2017,X1,20d,248
64,2017,4 Series,420i Gran Coupe,243
65,2017,4 Series,430i Convertible,185
66,2017,4 Series,420d Gran Coupe,176
67,2017,4 Series,420i Coupe,120
68,2017,4 Series,420d xDrive Gran Coupe,103
69,2017,4 Series,420d Coupe,80
70,2017,4 Series,430i Coupe,46
71,2017,4 Series,435d xDrive Gran Coupe,27
72,2017,4 Series,435d xDrive Gran Coupe,27
73,2017,2 Series Active Tourer,Active Tourer,950
74,2017,2 Series Active Tourer,Active Tourer,950
75,2017,M,M2,254
76,2017,M,M3,162
77,2017,M,M4 Coupe,143
78,2017,M,M760Li xDrive,108
79,2017,M,M4 Convertible,103
80,2017,M,M5,101
81,2017,M,M 550d xDrive,45
82,2017,M,M6 Gran Coupe,4
83,2017,M,M6 Coupe,4
84,2017,M,M6 Coupe,4
85,2017,5 Series,520d,289
86,2017,5 Series,520d xDrive,217
87,2017,5 Series,530d xDrive,199
88,2017,5 Series,528i xDrive,56
89,2017,5 Series,528i,49
90,2017,5 Series,528i,49
91,2017,6 Series,640d Gran Coupe xDrive,478
92,2017,6 Series,650i Convertible,8
93,2017,6 Series,650i Convertible,8
94,2017,X3,20d,320
95,2017,X3,30d,43
96,2017,X3,30d,43
97,2017,i3,EV,193
98,2017,i3,EV,193
99,2017,i8,1.5,123
100,2017,i8,1.5,123
101,2017,Z4,3.5 S,3
102,2017,Z4, 2.8,2
103,2017,Z4, 2.8,2
0,2018,5 Series,520d,"7,704"
1,2018,5 Series,530i xDrive,"4,400"
2,2018,5 Series,530i,"4,248"
3,2018,5 Series,520d xDrive,"3,870"
4,2018,5 Series,520i,"2,929"
5,2018,5 Series,540i xDrive,653
6,2018,5 Series,530d,301
7,2018,5 Series,M550d xDrive,95
8,2018,5 Series,M550d xDrive,95
9,2018,3 Series,320d,"4,862"
10,2018,3 Series,320i,"2,456"
11,2018,3 Series,320d Gran Turismo,"1,441"
12,2018,3 Series,330i,"1,207"
13,2018,3 Series,320d xDrive Gran Turismo,521
14,2018,3 Series,320d xDrive,74
15,2018,3 Series,320d ED,67
16,2018,3 Series,330e,29
17,2018,3 Series,320d Touring,5
18,2018,3 Series,320d Touring,5
19,2018,X3,20d,"2,289"
20,2018,X3,30d,206
21,2018,X3,30d,206
22,2018,4 Series,420i Gran Coupe,598
23,2018,4 Series,430i Convertible,596
24,2018,4 Series,420d Gran Coupe,474
25,2018,4 Series,420d xDrive Gran Coupe,271
26,2018,4 Series,420i Coupe,221
27,2018,4 Series,430i Coupe,146
28,2018,4 Series,420d Coupe,125
29,2018,4 Series,435d xDrive Gran Coupe,19
30,2018,4 Series,435d xDrive Gran Coupe,19
31,2018,7 Series,730Ld xDrive,761
32,2018,7 Series,740Li xDrive,636
33,2018,7 Series,740d xDrive,303
34,2018,7 Series,730d xDrive,267
35,2018,7 Series,750Li xDrive,264
36,2018,7 Series,740Ld xDrive,109
37,2018,7 Series,740e,80
38,2018,7 Series,M760Li xDrive,24
39,2018,7 Series,750Ld xDrive,1
40,2018,7 Series,750Ld xDrive,1
41,2018,X5,30d,"1,494"
42,2018,X5,40e,164
43,2018,X5,40d,164
44,2018,X5,M50d,47
45,2018,X5,M,45
46,2018,X5,M,45
47,2018,1 Series,118d,"1,765"
48,2018,1 Series,118d,"1,765"
49,2018,X6,30d,"1,456"
50,2018,X6,40d,166
51,2018,X6,M,73
52,2018,X6,M50d,40
53,2018,X6,M50d,40
54,2018,6 Series,GT 640i xDrive,601
55,2018,6 Series,GT 630d xDrive,496
56,2018,6 Series,640d Gran Coupe xDrive,321
57,2018,6 Series,640d Gran Coupe xDrive,321
58,2018,X4,20d,878
59,2018,X4,30d,5
60,2018,X4,M40i,4
61,2018,X4,M40i,4
62,2018,X1,20d,572
63,2018,X1,18d,135
64,2018,X1,18d,135
65,2018,2 Series Active Tourer,Active Tourer,642
66,2018,2 Series Active Tourer,Active Tourer,642
67,2018,M,M3,124
68,2018,M,M 550d xDrive,100
69,2018,M,M2,100
70,2018,M,M760Li xDrive,88
71,2018,M,M4 Coupe,88
72,2018,M,M5,55
73,2018,M,M4 Convertible,44
74,2018,M,M4 Convertible,44
75,2018,Gran Turismo,GT 640i xDrive,233
76,2018,Gran Turismo,GT 630d xDrive,133
77,2018,Gran Turismo,GT 3.0d xDrive,1
78,2018,Gran Turismo,GT 3.0d xDrive,1
79,2018,X4,20d,217
80,2018,X4,M40d,24
81,2018,X4,M40d,24
82,2018,i3,i3,189
83,2018,i3,i3,189
84,2018,M2,M2,127
85,2018,M2,M2,127
86,2018,M5,M5,125
87,2018,M5,M5,125
88,2018,i8,1.5,122
89,2018,i8,1.5 Roadster,2
90,2018,i8,1.5 Roadster,2
91,2018,M4,M4 Coupe,45
92,2018,M4,M4 Convertible,21
93,2018,M4,M4 Convertible,21
94,2018,X2,20d,54
