,year,car_name,sub_name,quentity
0,2017,E-Class,E300 4MATIC,"8,806"
1,2017,E-Class,E220d,"6,530"
2,2017,E-Class,E300,"6,299"
3,2017,E-Class,E200,"4,737"
4,2017,E-Class,E220d 4MATIC,"4,645"
5,2017,E-Class,E400 4MATIC,"1,398"
6,2017,E-Class,E220d Coupe,957
7,2017,E-Class,E350d,756
8,2017,E-Class,E400 4MATIC Coupe,330
9,2017,E-Class,E43 4MATIC AMG,276
10,2017,E-Class,E63 4MATIC+ AMG,3
11,2017,E-Class,E63 4MATIC+ AMG,3
12,2017,C-Class,C200,"4,834"
13,2017,C-Class,C220d,"2,593"
14,2017,C-Class,C200 Cabriolet,901
15,2017,C-Class,C200d,742
16,2017,C-Class,C220d 4MATIC,577
17,2017,C-Class,C200 Coupe,369
18,2017,C-Class,C250d 4MATIC,355
19,2017,C-Class,C43 4MATIC AMG,204
20,2017,C-Class,C220d Coupe,137
21,2017,C-Class,C63 Coupe AMG,119
22,2017,C-Class,C63 Cabriolet AMG,71
23,2017,C-Class,C63 AMG,71
24,2017,C-Class, C63 S AMG,31
25,2017,C-Class,C63 S Coupe AMG,27
26,2017,C-Class,C220d 4MATIC Estate,7
27,2017,C-Class,C450 4MATIC AMG,2
28,2017,C-Class,C450 4MATIC AMG,2
29,2017,S-Class,S350d 4MATIC,"2,923"
30,2017,S-Class,S500 4MATIC,754
31,2017,S-Class,S400 4MATIC,399
32,2017,S-Class,S350d,300
33,2017,S-Class,S63 4MATIC Long AMG,188
34,2017,S-Class,S63 4MATIC Coupe AMG,85
35,2017,S-Class,S400 4MATIC Coupe,57
36,2017,S-Class,S63 4MATIC Cabriolet AMG,54
37,2017,S-Class,S500,22
38,2017,S-Class,S65 Long AMG,16
39,2017,S-Class,S65 Coupe AMG,13
40,2017,S-Class,S400,9
41,2017,S-Class,S63 4MATIC AMG,5
42,2017,S-Class,S63 4MATIC Coupe AMG,4
43,2017,S-Class,S350 BlueTEC 4MATIC,1
