,year,car_name,sub_name,quentity
0,2017,A7,50 TDI quattro,627
1,2017,A7,40 TDI,36
2,2017,A7,55 TDI quattro,22
3,2017,A7,50 TFSI quattro,8
4,2017,A7,50 TFSI quattro,8
5,2017,A6,40 TDI quattro,151
6,2017,A6,55 TDI quattro,68
7,2017,A6,50 TFSI quattro,58
8,2017,A6,50 TDI quattro,58
9,2017,A6,S6 4.0 TFSI quattro,2
10,2017,A6,S6 4.0 TFSI quattro,2
11,2017,A4,45 TFSI,63
12,2017,A4,45 TFSI quattro,11
13,2017,A4,55 TDI quattro,1
14,2017,A4,55 TDI quattro,1
15,2017,R8,5.2 FSI Plus Coupe,43
16,2017,R8,5.2 FSI Plus Coupe,43
17,2017,Q5,45 TDI quattro,16
18,2017,Q5,SQ5 3.0 TDI quattro,5
19,2017,Q5,SQ5 3.0 TDI quattro,5
20,2017,TT,TTS Coupe,5
21,2017,TT,TTS Coupe,5
22,2017,A8,L W12,1
23,2017,A8,L W12,1
24,2017,Q7,35 TDI quattro,1
25,2017,Q7,35 TDI quattro,1
0,2018,A6,35 TDI,"5,194"
1,2018,A6,35 TDI quattro,"1,551"
2,2018,A6,40 TFSI,"1,255"
3,2018,A6,40 TFSI quattro,153
4,2018,A6,40 TFSI quattro,153
5,2018,A3,40 TFSI,"3,048"
6,2018,A3,40 TFSI,"3,048"
7,2018,A4,30 TDI,789
8,2018,A4,35 TDI,481
9,2018,A4,35 TDI quattro,409
10,2018,A4,35 TDI quattro,409
11,2018,A7,50 TDI quattro,214
12,2018,A7,50 TDI quattro,214
13,2018,R8,5.2 FSI Plus Coupe,56
14,2018,R8,5.2 FSI Plus Coupe,56
0,2019,Q7,45 TFSI quattro,"4,156"
1,2019,Q7,45 TFSI quattro,"4,156"
2,2019,A6,45 TFSI quattro,"2,666"
3,2019,A6,40 TDI,354
4,2019,A6,40 TDI,354
5,2019,A6,40 TFSI,"2,460"
6,2019,A6,40 TFSI quattro,100
7,2019,A6,40 TFSI quattro,100
8,2019,A4,40 TFSI,"1,230"
9,2019,A4,40 TFSI,"1,230"
10,2019,A5,Sportback 45 TFSI quattro,"1,099"
11,2019,A5,Cabriolet 45 TFSI quattro,23
12,2019,A5,Coupe 45 TFSI quattro,16
13,2019,A5,Coupe 45 TFSI quattro,16
14,2019,A3,40 TFSI,447
15,2019,A3,40 TFSI,447
16,2019,A8,L 55 TFSI quattro,142
17,2019,A8,L 55 TFSI quattro,142
0,2020,A6,40 TDI,"4,923"
