,year,car_name,sub_name,quentity
0,2018,Tiguan,2.0 TDI,"4,567"
1,2018,Tiguan,2.0 TDI 4Motion,"2,010"
2,2018,Tiguan,Allspace 2.0 TDI,928
3,2018,Tiguan,Allspace 2.0 TDI,928
4,2018,Passat,2.0 TSI,"4,387"
5,2018,Passat,2.0 TSI,"4,387"
6,2018,Passat GT,2.0 TDI,"2,534"
7,2018,Passat GT,2.0 TDI 4Motion,588
8,2018,Passat GT,2.0 TDI 4Motion,588
9,2018,Arteon,2.0 TDI,780
10,2018,Arteon,2.0 TDI,780
0,2019,Arteon,2.0 TDI,"6,784"
1,2019,Arteon,2.0 TDI,"6,784"
2,2019,Tiguan,2.0 TDI,"3,055"
3,2019,Tiguan,2.0 TDI 4Motion,1
4,2019,Tiguan,2.0 TDI 4Motion,1
5,2019,Passat,2.0 TSI,421
6,2019,Passat,2.0 TSI,421
0,2020,Tiguan,2.0 TDI,"8,631"
1,2020,Tiguan,Allspace 2.0 TDI,"1,534"
2,2020,Tiguan,2.0 TDI 4Motion,"1,498"
3,2020,Tiguan,2.0 TDI 4Motion,"1,498"
4,2020,The all new Jetta,1.4 TSI,"2,625"
5,2020,The all new Jetta,1.4 TSI,"2,625"
6,2020,Arteon,2.0 TDI,"2,194"
7,2020,Arteon,2.0 TDI 4Motion,230
8,2020,Arteon,2.0 TDI 4Motion,230
9,2020,The new Touareg,3.0 TDI,821
10,2020,The new Touareg,4.0 TDI,66
11,2020,The new Touareg,4.0 TDI,66
12,2020,The new Passat GT,2.0 TDI,15
13,2020,The new Passat GT,2.0 TDI 4Motion,1
14,2020,The new Passat GT,2.0 TDI 4Motion,1
0,2021,Tiguan,Allspace 2.0 TDI,"2,274"
1,2021,Tiguan,2.0 TDI,1
2,2021,Tiguan,2.0 TDI,1
3,2021,The all new Jetta,1.4 TSI,"1,988"
4,2021,The all new Jetta,1.4 TSI,"1,988"
5,2021,Arteon,2.0 TDI,881
6,2021,Arteon,2.0 TDI 4Motion,241
7,2021,Arteon,2.0 TDI 4Motion,241
8,2021,The new Passat GT,2.0 TDI,717
9,2021,The new Passat GT,2.0 TDI 4Motion,109
10,2021,The new Passat GT,2.0 TDI 4Motion,109
11,2021,T-Roc,2.0 TDI,602
12,2021,T-Roc,2.0 TDI,602
13,2021,The new Touareg,3.0 TDI,235
14,2021,The new Touareg,4.0 TDI,37
15,2021,The new Touareg,4.0 TDI,37
