,year,car_name,sub_name,quentity
0,2017,Hatch,Cooper,"1,248"
1,2017,Hatch,Cooper five-door,"1,245"
2,2017,Hatch,Cooper D,892
3,2017,Hatch,Cooper D five-door,887
4,2017,Hatch,John Cooper Works,243
5,2017,Hatch,Cooper S,202
6,2017,Hatch,Cooper S five-door,162
7,2017,Hatch,Cooper SD,69
8,2017,Hatch,Cooper SD five-door,55
9,2017,Hatch,Cooper SD five-door,55
10,2017,Countryman,Cooper D ALL4,"1,289"
11,2017,Countryman,Cooper D,877
12,2017,Countryman,Cooper SD ALL4,114
13,2017,Countryman,Cooper SD ALL4,114
14,2017,Clubman,1.5 Cooper,"1,010"
15,2017,Clubman,2.0 Cooper D,991
16,2017,Clubman,2.0 Cooper S,207
17,2017,Clubman,2.0 Cooper SD,19
18,2017,Clubman,2.0 Cooper SD,19
19,2017,Convertible,Cooper S,223
20,2017,Convertible,Cooper,182
21,2017,Convertible,Cooper,182
22,2017,Countryman,Cooper D ALL4,97
23,2017,Countryman,Cooper D ALL4,97
0,2018,Hatch,Cooper five-door,"1,530"
1,2018,Hatch,Cooper,"1,302"
2,2018,Hatch,Cooper D five-door,580
3,2018,Hatch,Cooper D,470
4,2018,Hatch,Cooper S,242
5,2018,Hatch,Cooper S five-door,203
6,2018,Hatch,John Cooper Works,182
7,2018,Hatch,Cooper SD five-door,31
8,2018,Hatch,Cooper SD,17
9,2018,Hatch,Cooper SD,17
10,2018,Clubman,1.5 Cooper,"1,763"
11,2018,Clubman,2.0 Cooper D,401
12,2018,Clubman,2.0 Cooper S,208
13,2018,Clubman,2.0 John Cooper Works,32
14,2018,Clubman,2.0 Cooper SD,20
15,2018,Clubman,2.0 Cooper SD,20
16,2018,Countryman,Cooper D ALL4,"1,084"
17,2018,Countryman,Cooper,658
18,2018,Countryman,Cooper D,329
19,2018,Countryman,Cooper S ALL4,135
20,2018,Countryman,John Cooper Works ALL4,49
21,2018,Countryman,Cooper SD ALL4,44
22,2018,Countryman,Cooper SD ALL4,44
23,2018,Convertible,Cooper S,235
24,2018,Convertible,Cooper,210
25,2018,Convertible,John Cooper Works,38
26,2018,Convertible,John Cooper Works,38
0,2019,Hatch,Cooper five-door,"2,216"
1,2019,Hatch,Cooper,"1,702"
2,2019,Hatch,Cooper S,362
3,2019,Hatch,Cooper D five-door,326
4,2019,Hatch,Cooper D,319
5,2019,Hatch,Cooper S five-door,310
6,2019,Hatch,John Cooper Works,197
7,2019,Hatch,Cooper SD,22
8,2019,Hatch,Cooper SD five-door,20
9,2019,Hatch,Cooper SD five-door,20
10,2019,Countryman,Cooper,"1,532"
11,2019,Countryman,Cooper D ALL4,508
12,2019,Countryman,Cooper S ALL4,251
13,2019,Countryman,John Cooper Works ALL4,73
14,2019,Countryman,Cooper SD ALL4,37
15,2019,Countryman,Cooper SD ALL4,37
16,2019,Clubman,1.5 Cooper,"1,077"
17,2019,Clubman,2.0 Cooper D,419
18,2019,Clubman,2.0 Cooper S,192
19,2019,Clubman,2.0 John Cooper Works,39
20,2019,Clubman,2.0 Cooper SD,13
21,2019,Clubman,2.0 Cooper SD,13
22,2019,Clubman,Cooper,565
23,2019,Clubman,Cooper S,67
24,2019,Clubman,Cooper D,42
25,2019,Clubman,Cooper SD,7
26,2019,Clubman,Cooper SD,7
27,2019,Convertible,Cooper S,230
28,2019,Convertible,Cooper,136
29,2019,Convertible,John Cooper Works,85
30,2019,Convertible,John Cooper Works,85
0,2020,Hatch,Cooper five-door,"2,378"
1,2020,Hatch,Cooper,"2,039"
2,2020,Hatch,Cooper S five-door,367
3,2020,Hatch,Cooper S,355
4,2020,Hatch,John Cooper Works,256
5,2020,Hatch,John Cooper Works,256
6,2020,Clubman,Cooper,"1,740"
7,2020,Clubman,Cooper D,481
8,2020,Clubman,Cooper S,222
9,2020,Clubman,John Cooper Works ALL4,86
10,2020,Clubman,Cooper SD,70
11,2020,Clubman,Cooper SD,70
12,2020,Countryman,Cooper,"1,117"
13,2020,Countryman,Cooper D ALL4,411
14,2020,Countryman,Cooper S ALL4,294
15,2020,Countryman,John Cooper Works ALL4,92
16,2020,Countryman,Cooper SD ALL4,31
17,2020,Countryman,Cooper SD ALL4,31
18,2020,Countryman,Cooper,528
19,2020,Countryman,Cooper S ALL4,108
20,2020,Countryman,Cooper D ALL4,76
21,2020,Countryman,John Cooper Works ALL4,50
22,2020,Countryman,Cooper SD ALL4,21
23,2020,Countryman,Cooper SD ALL4,21
24,2020,Convertible,Cooper S,211
25,2020,Convertible,Cooper,177
26,2020,Convertible,John Cooper Works,105
27,2020,Convertible,John Cooper Works,105
28,2020,Clubman,2.0 Cooper S,23
29,2020,Clubman,2.0 John Cooper Works,7
30,2020,Clubman,2.0 John Cooper Works,7
0,2021,Hatch,Cooper five-door,"1,100"
1,2021,Hatch,Cooper,738
2,2021,Hatch,Cooper S,131
3,2021,Hatch,Cooper S five-door,129
4,2021,Hatch,John Cooper Works,119
5,2021,Hatch,John Cooper Works,119
6,2021,Countryman,Cooper,951
7,2021,Countryman,Cooper S ALL4,198
8,2021,Countryman,Cooper D ALL4,169
9,2021,Countryman,John Cooper Works ALL4,61
10,2021,Countryman,Cooper SD ALL4,32
11,2021,Countryman,Cooper SD ALL4,32
12,2021,Clubman,Cooper,938
13,2021,Clubman,Cooper S,130
14,2021,Clubman,Cooper D,76
15,2021,Clubman,John Cooper Works ALL4,74
16,2021,Clubman,Cooper SD,6
17,2021,Clubman,Cooper SD,6
18,2021,Convertible,Cooper S,62
19,2021,Convertible,John Cooper Works,41
20,2021,Convertible,Cooper,22
21,2021,Convertible,Cooper,22
