,year,car_name,sub_name,quentity
0,2017,S90,2.0 D4,597
1,2017,S90,2.0 T5,493
2,2017,S90,2.0 D5 AWD,452
3,2017,S90,2.0 D5 AWD,452
4,2017,S60,2.0 D3,785
5,2017,S60,2.0 D4,361
6,2017,S60,2.0 T5,154
7,2017,S60,2.0 Polestar,17
8,2017,S60,2.0 D5,1
9,2017,S60,2.0 D5,1
10,2017,XC90,2.0 D5 AWD,755
11,2017,XC90,2.0 T6 AWD,383
12,2017,XC90,2.0 T8 AWD,81
13,2017,XC90,2.0 T8 AWD,81
14,2017,XC60,2.0 D4,533
15,2017,XC60,2.0 D3,513
16,2017,XC60,2.4 D5,138
17,2017,XC60,T6 AWD,2
18,2017,XC60,T6 AWD,2
19,2017,XC60,2.0 D4 AWD,483
20,2017,XC60,2.0 T6 AWD,113
21,2017,XC60,2.0 T8 AWD,1
22,2017,XC60,2.0 T8 AWD,1
23,2017,V40,2.0 D3,471
24,2017,V40,2.0 D4,59
25,2017,V40,2.0 T5,40
26,2017,V40,2.0 T5,40
27,2017,V60 Cross Country,2.0 D4,257
28,2017,V60 Cross Country,2.4 D4 AWD,64
29,2017,V60 Cross Country,2.5 T5 AWD,63
30,2017,V60 Cross Country,2.5 T5 AWD,63
31,2017,V90 Cross Country,2.0 D5 AWD,356
32,2017,V90 Cross Country,2.0 D5 AWD,356
33,2017,V60,2.0 D3,133
34,2017,V60,2.0 D4,25
35,2017,V60,2.0 Polestar,12
36,2017,V60,2.0 Polestar,12
37,2017,V40 Cross Country,2.0 D3,76
38,2017,V40 Cross Country,2.0 D4,25
39,2017,V40 Cross Country,2.0 D4,25
40,2017,S60 Cross Country,2.0 D4,8
41,2017,S60 Cross Country,2.4 D4 AWD,2
42,2017,S60 Cross Country,2.4 D4 AWD,2
0,2018,XC60,2.0 D5 AWD,"2,069"
1,2018,XC60,2.0 T6 AWD,716
2,2018,XC60,2.0 D4 AWD,177
3,2018,XC60,2.0 T8 AWD,30
4,2018,XC60,2.0 T8 AWD,30
5,2018,XC90,2.0 D5 AWD,"1,095"
6,2018,XC90,2.0 T6 AWD,531
7,2018,XC90,2.0 T8 AWD,103
8,2018,XC90,2.0 T8 AWD,103
9,2018,S90,2.0 T5,677
10,2018,S90,2.0 D4,470
11,2018,S90,2.0 D5 AWD,49
12,2018,S90,2.0 D5 AWD,49
13,2018,S60,2.0 D3,746
14,2018,S60,2.0 D4,258
15,2018,S60,2.0 T5,162
16,2018,S60,2.0 Polestar,12
17,2018,S60,2.0 Polestar,12
18,2018,V90 Cross Country,2.0 T5 AWD,402
19,2018,V90 Cross Country,2.0 D5 AWD,306
20,2018,V90 Cross Country,2.0 D5 AWD,306
21,2018,XC40,2.0 T4 AWD,556
22,2018,XC40,2.0 T4 AWD,556
23,2018,V40,2.0 D3,401
24,2018,V40,2.0 T5,67
25,2018,V40,2.0 T5,67
26,2018,V40 Cross Country,2.0 D3,268
27,2018,V40 Cross Country,2.0 D4,32
28,2018,V40 Cross Country,2.0 D4,32
29,2018,V60 Cross Country,2.0 D4,157
30,2018,V60 Cross Country,2.5 T5 AWD,44
31,2018,V60 Cross Country,2.5 T5 AWD,44
32,2018,V60,2.0 D3,28
33,2018,V60,2.0 D4,23
34,2018,V60,2.0 Polestar,5
35,2018,V60,2.0 Polestar,5
0,2019,XC60,2.0 D5 AWD,"2,179"
1,2019,XC60,2.0 T6 AWD,911
2,2019,XC60,2.0 T8 AWD,116
3,2019,XC60,2.0 T8 AWD,116
4,2019,XC40,2.0 T4 AWD,"1,760"
5,2019,XC40,2.0 T4 AWD,"1,760"
6,2019,S90,2.0 T5,"1,323"
7,2019,S90,2.0 D5 AWD,355
8,2019,S90,2.0 T8 AWD,25
9,2019,S90,2.0 T8 AWD,25
10,2019,S60,2.0 T5,"1,276"
11,2019,S60,2.0 T5,"1,276"
12,2019,XC90,2.0 D5 AWD,754
13,2019,XC90,2.0 T6 AWD,334
14,2019,XC90,2.0 T8 AWD,80
15,2019,XC90,2.0 T8 AWD,80
16,2019,V60 Cross Country,2.0 T5 AWD,"1,108"
17,2019,V60 Cross Country,2.0 T5 AWD,"1,108"
18,2019,V90 Cross Country,2.0 T5 AWD,535
19,2019,V90 Cross Country,2.0 D5 AWD,121
20,2019,V90 Cross Country,2.0 D5 AWD,121
21,2019,XC90,2.0 D5 AWD,206
22,2019,XC90,2.0 T6 AWD,175
23,2019,XC90,2.0 T8 AWD,26
24,2019,XC90,2.0 T8 AWD,26
